Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
10693,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10694,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10695,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10696,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10697,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10698,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10699,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10700,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10701,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10702,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10703,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10704,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
10705,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10706,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10707,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10708,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10709,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10710,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10711,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10712,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10713,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10714,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10715,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10716,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
10717,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10718,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10719,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10720,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10721,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10722,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10723,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10724,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10725,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10726,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10727,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10728,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10729,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10730,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10731,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10732,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
