Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Attack
10684,5,282,0,0,0,0,0
10685,5,282,0,0,0,0,0
10686,5,282,0,0,0,0,0
10687,5,282,0,0,0,0,0
10688,5,282,0,0,0,0,0
10689,5,282,0,0,0,0,0
10690,5,282,0,0,0,0,0
10691,5,282,0,0,0,0,0
10692,5,282,0,0,0,0,0
10693,5,282,0,0,0,0,0
10694,5,282,0,0,0,0,0
10695,5,282,0,0,0,0,0
10696,5,282,0,0,0,0,0
10697,5,282,0,0,0,0,0
10698,5,282,0,0,0,0,0
10699,5,282,0,0,0,0,0
10700,5,282,0,0,0,0,0
10701,5,282,0,0,0,0,0
10702,5,282,0,0,0,0,0
10703,4,282,0,0,0,0,0
10704,6,282,0,0,0,0,0
10705,5,282,0,0,0,0,0
10706,4,282,0,0,0,0,0
10707,5,282,0,0,0,0,0
10708,5,282,0,0,0,0,0
10709,5,282,0,0,0,0,0
10710,5,282,0,0,0,0,0
10711,5,282,0,0,0,0,0
10712,5,282,0,0,0,0,0
10713,5,282,0,0,0,0,0
10714,5,282,0,0,0,0,0
10715,5,282,0,0,0,0,0
10716,5,282,0,0,0,0,0
10717,5,282,0,0,0,0,0
10718,5,282,0,0,0,0,0
10719,5,282,0,0,0,0,0
10720,5,282,0,0,0,0,0
10721,5,282,0,0,0,0,0
10722,5,282,0,0,0,0,0
10723,5,282,0,0,0,0,0
10724,5,282,0,0,0,0,0
10725,5,282,0,0,0,0,0
10726,5,282,0,0,0,0,0
10727,5,282,0,0,0,0,0
10728,5,282,0,0,0,0,0
10729,5,282,0,0,0,0,0
10730,5,282,0,0,0,0,0
10731,5,282,0,0,0,0,0
10732,5,282,0,0,0,0,0
10733,5,282,0,0,0,0,0
10734,5,282,0,0,0,0,0
10735,5,282,0,0,0,0,0
10736,5,282,0,0,0,0,0
10737,5,282,0,0,0,0,0
10738,5,282,0,0,0,0,0
10739,5,282,0,0,0,0,0
10740,5,282,0,0,0,0,0
10741,5,282,0,0,0,0,0
10742,5,282,0,0,0,0,0
10743,5,282,0,0,0,0,0
10744,5,282,0,0,0,0,0
10745,5,282,0,0,0,0,0
10746,5,282,0,0,0,0,0
10747,5,282,0,0,0,0,0
10748,5,282,0,0,0,0,0
10749,5,282,0,0,0,0,0
10750,5,282,0,0,0,0,0
10751,5,282,0,0,0,0,0
10752,5,282,0,0,0,0,0
10753,5,282,0,0,0,0,0
10754,5,282,0,0,0,0,0
10755,5,282,0,0,0,0,0
10756,5,282,0,0,0,0,0
10757,5,282,0,0,0,0,0
10758,5,282,0,0,0,0,0
10759,5,282,0,0,0,0,0
10760,5,282,0,0,0,0,0
10761,5,282,0,0,0,0,0
10762,5,282,0,0,0,0,0
10763,5,282,0,0,0,0,0
10764,5,282,0,0,0,0,0
10765,5,282,0,0,0,0,0
10766,5,282,0,0,0,0,0
10767,5,282,0,0,0,0,0
10768,5,282,0,0,0,0,0
10769,5,282,0,0,0,0,0
10770,5,282,0,0,0,0,0
10771,5,282,0,0,0,0,0
10772,5,282,0,0,0,0,0
10773,5,282,0,0,0,0,0
10774,5,282,0,0,0,0,0
10775,5,282,0,0,0,0,0
10776,5,282,0,0,0,0,0
10777,5,282,0,0,0,0,0
10778,5,282,0,0,0,0,0
10779,5,282,0,0,0,0,0
10780,5,282,0,0,0,0,0
10781,5,282,0,0,0,0,0
10782,5,282,0,0,0,0,0
10783,5,282,0,0,0,0,0
10784,5,282,0,0,0,0,0
10785,5,282,0,0,0,0,0
10786,5,282,0,0,0,0,0
10787,5,282,0,0,0,0,0
10788,5,282,0,0,0,0,0
10789,5,282,0,0,0,0,0
10790,5,282,0,0,0,0,0
10791,5,282,0,0,0,0,0
10792,5,282,0,0,0,0,0
10793,5,282,0,0,0,0,0
10794,5,282,0,0,0,0,0
10795,5,282,0,0,0,0,0
10796,5,282,0,0,0,0,0
10797,5,282,0,0,0,0,0
10798,5,282,0,0,0,0,0
10799,5,282,0,0,0,0,0
10800,5,282,0,0,0,0,0
10801,5,282,0,0,0,0,0
10802,5,282,0,0,0,0,0
10803,5,282,0,0,0,0,0
10804,5,282,0,0,0,0,0
10805,5,282,0,0,0,0,0
10806,5,282,0,0,0,0,0
10807,5,282,0,0,0,0,0
10808,5,282,0,0,0,0,0
10809,5,282,0,0,0,0,0
10810,5,282,0,0,0,0,0
10811,5,282,0,0,0,0,0
10812,5,282,0,0,0,0,0
10813,5,282,0,0,0,0,0
10814,5,282,0,0,0,0,0
10815,5,282,0,0,0,0,0
10816,5,282,0,0,0,0,0
10817,5,282,0,0,0,0,0
10818,5,282,0,0,0,0,0
10819,5,282,0,0,0,0,0
10820,5,282,0,0,0,0,0
10821,5,282,0,0,0,0,0
10822,5,282,0,0,0,0,0
10823,5,282,0,0,0,0,0
10824,5,282,0,0,0,0,0
10825,5,282,0,0,0,0,0
10826,5,282,0,0,0,0,0
10827,5,282,0,0,0,0,0
10828,5,282,0,0,0,0,0
10829,5,282,0,0,0,0,0
10830,5,282,0,0,0,0,0
10831,5,282,0,0,0,0,0
10832,5,282,0,0,0,0,0
10833,5,282,0,0,0,0,0
10834,5,282,0,0,0,0,0
10835,5,282,0,0,0,0,0
10836,5,282,0,0,0,0,0
10837,5,282,0,0,0,0,0
10838,5,282,0,0,0,0,0
10839,5,282,0,0,0,0,0
10840,5,282,0,0,0,0,0
10841,5,282,0,0,0,0,0
10842,5,282,0,0,0,0,0
10843,5,282,0,0,0,0,0
10844,5,282,0,0,0,0,0
10845,5,282,0,0,0,0,0
10846,5,282,0,0,0,0,0
10847,5,282,0,0,0,0,0
10848,5,282,0,0,0,0,0
10849,5,282,0,0,0,0,0
10850,5,282,0,0,0,0,0
10851,5,282,0,0,0,0,0
10852,5,282,0,0,0,0,0
10853,10,280.5,1,1,0,1,0
10854,5,280,0,0,0,0,0
10855,5,280,0,0,0,0,0
10856,4,280,0,0,0,0,0
10857,5,280,0,0,0,0,0
10858,5,280,0,0,0,0,0
10859,5,280,0,0,0,0,0
10860,5,280,0,0,0,0,0
10861,5,280,0,0,0,0,0
10862,5,280,0,0,0,0,0
10863,5,280,0,0,0,0,0
10864,5,280,0,0,0,0,0
10865,5,280,0,0,0,0,0
10866,5,280,0,0,0,0,0
10867,5,280,0,0,0,0,0
10868,5,280,0,0,0,0,0
10869,5,280,0,0,0,0,0
10870,5,280,0,0,0,0,0
10871,5,280,0,0,0,0,0
10872,5,280,0,0,0,0,0
10873,5,280,0,0,0,0,0
10874,5,280,0,0,0,0,0
10875,5,280,0,0,0,0,0
10876,5,280,0,0,0,0,0
10877,5,280,0,0,0,0,0
10878,5,280.4,0,0,0,0,0
10879,5,282,0,0,0,0,0
10880,5,282,0,0,0,0,0
10881,5,282,0,0,0,0,0
10882,5,282,0,0,0,0,0
10883,5,282,0,0,0,0,0
10884,9,280.89,1,1,0,1,0
10885,5,280,0,0,0,0,0
10886,5,280,0,0,0,0,0
10887,5,280,0,0,0,0,0
10888,5,280,0,0,0,0,0
10889,5,280,0,0,0,0,0
10890,5,280,0,0,0,0,0
10891,5,280,0,0,0,0,0
10892,5,280,0,0,0,0,0
10893,5,280,0,0,0,0,0
10894,5,280,0,0,0,0,0
10895,5,280,0,0,0,0,0
10896,5,280,0,0,0,0,0
10897,5,280,0,0,0,0,0
10898,5,280,0,0,0,0,0
10899,5,280,0,0,0,0,0
10900,5,280,0,0,0,0,0
10901,5,280,0,0,0,0,0
10902,5,280,0,0,0,0,0
10903,5,280,0,0,0,0,0
10904,5,280,0,0,0,0,0
10905,5,280,0,0,0,0,0
10906,5,280,0,0,0,0,0
10907,5,280,0,0,0,0,0
10908,5,280,0,0,0,0,0
10909,5,280.4,0,0,0,0,0
10910,5,282,0,0,0,0,0
10911,5,282,0,0,0,0,0
10912,5,282,0,0,0,0,0
10913,5,282,0,0,0,0,0
10914,5,282,0,0,0,0,0
10915,5,282,0,0,0,0,0
10916,5,282,0,0,0,0,0
10917,5,282,0,0,0,0,0
10918,5,282,0,0,0,0,0
10919,5,282,0,0,0,0,0
10920,5,282,0,0,0,0,0
10921,5,282,0,0,0,0,0
10922,5,282,0,0,0,0,0
10923,5,282,0,0,0,0,0
10924,5,282,0,0,0,0,0
10925,5,282,0,0,0,0,0
10926,5,282,0,0,0,0,0
10927,5,282,0,0,0,0,0
10928,5,282,0,0,0,0,0
10929,5,282,0,0,0,0,0
10930,5,282,0,0,0,0,0
10931,5,282,0,0,0,0,0
10932,5,282,0,0,0,0,0
10933,5,282,0,0,0,0,0
10934,5,282,0,0,0,0,0
10935,5,282,0,0,0,0,0
10936,5,282,0,0,0,0,0
10937,5,282,0,0,0,0,0
10938,5,282,0,0,0,0,0
10939,5,282,0,0,0,0,0
10940,5,282,0,0,0,0,0
